item,date,time,temp
1,2015-04-11,0:00,28.67
2,2015-04-11,0:15,28.47
3,2015-04-11,0:30,28.35
4,2015-04-11,0:45,28.35
5,2015-04-11,1:00,27.55
6,2015-04-11,1:15,26.48
7,2015-04-11,1:30,25.89
8,2015-04-11,1:45,25.45
9,2015-04-11,2:00,25.14
10,2015-04-11,2:15,24.87
11,2015-04-11,2:30,24.63
12,2015-04-11,2:45,24.46
13,2015-04-11,3:00,24.56
14,2015-04-11,3:15,24.65
15,2015-04-11,3:30,24.87
16,2015-04-11,3:45,24.68
17,2015-04-11,4:00,24.29
18,2015-04-11,4:15,24.05
19,2015-04-11,4:30,23.93
20,2015-04-11,4:45,23.83
21,2015-04-11,5:00,23.81
22,2015-04-11,5:15,23.71
23,2015-04-11,5:30,23.67
24,2015-04-11,5:45,23.59
25,2015-04-11,6:00,23.57
26,2015-04-11,6:15,23.52
27,2015-04-11,6:30,23.5
28,2015-04-11,6:45,23.47
29,2015-04-11,7:00,23.45
30,2015-04-11,7:15,23.42
31,2015-04-11,7:30,23.4
32,2015-04-11,7:45,23.38
33,2015-04-11,8:00,23.38
34,2015-04-11,8:15,23.35
35,2015-04-11,8:30,23.33
36,2015-04-11,8:45,23.33
37,2015-04-11,9:00,23.3
38,2015-04-11,9:15,23.3
39,2015-04-11,9:30,23.28
40,2015-04-11,9:45,23.26
41,2015-04-11,10:00,23.26
42,2015-04-11,10:15,23.26
43,2015-04-11,10:30,23.23
44,2015-04-11,10:45,23.23
45,2015-04-11,11:00,23.21
46,2015-04-11,11:15,23.21
47,2015-04-11,11:30,23.21
48,2015-04-11,11:45,23.18
49,2015-04-11,12:00,23.16
50,2015-04-11,12:15,23.11
51,2015-04-11,12:30,23.06
52,2015-04-11,12:45,23.02
53,2015-04-11,13:00,22.97
54,2015-04-11,13:15,22.97
55,2015-04-11,13:30,22.99
56,2015-04-11,13:45,23.02
57,2015-04-11,14:00,23.11
58,2015-04-11,14:15,24.22
59,2015-04-11,14:30,25.09
60,2015-04-11,14:45,24.63
61,2015-04-11,15:00,24.34
62,2015-04-11,15:15,22.97
63,2015-04-11,15:30,22.9
64,2015-04-11,15:45,22.87
65,2015-04-11,16:00,22.9
66,2015-04-11,16:15,22.92
67,2015-04-11,16:30,22.94
68,2015-04-11,16:45,22.97
69,2015-04-11,17:00,23.02
70,2015-04-11,17:15,23.06
71,2015-04-11,17:30,23.14
72,2015-04-11,17:45,23.21
73,2015-04-11,18:00,23.28
74,2015-04-11,18:15,23.38
75,2015-04-11,18:30,23.62
76,2015-04-11,18:45,23.81
77,2015-04-11,19:00,23.86
78,2015-04-11,19:15,23.93
79,2015-04-11,19:30,24
80,2015-04-11,19:45,24.03
81,2015-04-11,20:00,24.05
82,2015-04-11,20:15,24.12
83,2015-04-11,20:30,24.17
84,2015-04-11,20:45,24.22
85,2015-04-11,21:00,24.27
86,2015-04-11,21:15,24.32
87,2015-04-11,21:30,24.36
88,2015-04-11,21:45,24.44
89,2015-04-11,22:00,24.48
90,2015-04-11,22:15,24.53
91,2015-04-11,22:30,24.56
92,2015-04-11,22:45,24.58
93,2015-04-11,23:00,24.58
94,2015-04-11,23:15,24.61
95,2015-04-11,23:30,24.61
96,2015-04-11,23:45,24.61
97,2015-04-12,0:00,24.61
98,2015-04-12,0:15,24.63
99,2015-04-12,0:30,24.61
100,2015-04-12,0:45,24.61
101,2015-04-12,1:00,24.61
102,2015-04-12,1:15,24.61
103,2015-04-12,1:30,24.58
104,2015-04-12,1:45,24.56
105,2015-04-12,2:00,24.56
106,2015-04-12,2:15,24.53
107,2015-04-12,2:30,24.51
108,2015-04-12,2:45,24.46
109,2015-04-12,3:00,24.44
110,2015-04-12,3:15,24.39
111,2015-04-12,3:30,24.34
112,2015-04-12,3:45,24.29
113,2015-04-12,4:00,24.24
114,2015-04-12,4:15,24.2
115,2015-04-12,4:30,24.15
116,2015-04-12,4:45,24.12
117,2015-04-12,5:00,24.07
118,2015-04-12,5:15,24.05
119,2015-04-12,5:30,24.03
120,2015-04-12,5:45,23.98
121,2015-04-12,6:00,23.93
122,2015-04-12,6:15,23.91
