item,date,time,temp
1,2014-10-11,14:00,16.56
2,2014-10-11,14:15,16.56
3,2014-10-11,14:30,16.53
4,2014-10-11,14:45,16.56
5,2014-10-11,15:00,16.58
6,2014-10-11,15:15,16.61
7,2014-10-11,15:30,16.65
8,2014-10-11,15:45,16.68
9,2014-10-11,16:00,16.70
10,2014-10-11,16:15,16.70
11,2014-10-11,16:30,16.73
12,2014-10-11,16:45,16.73
13,2014-10-11,17:00,16.77
14,2014-10-11,17:15,16.80
15,2014-10-11,17:30,16.80
16,2014-10-11,17:45,16.82
17,2014-10-11,18:00,16.82
18,2014-10-11,18:15,16.87
19,2014-10-11,18:30,16.89
20,2014-10-11,18:45,16.94
21,2014-10-11,19:00,16.99
22,2014-10-11,19:15,17.03
23,2014-10-11,19:30,17.08
24,2014-10-11,19:45,17.11
25,2014-10-11,20:00,17.13
26,2014-10-11,20:15,17.13
27,2014-10-11,20:30,17.13
28,2014-10-11,20:45,17.13
29,2014-10-11,21:00,17.11
30,2014-10-11,21:15,17.11
31,2014-10-11,21:30,17.08
32,2014-10-11,21:45,17.06
33,2014-10-11,22:00,17.03
34,2014-10-11,22:15,17.03
35,2014-10-11,22:30,17.03
36,2014-10-11,22:45,17.06
37,2014-10-11,23:00,17.11
38,2014-10-11,23:15,17.11
39,2014-10-11,23:30,17.13
40,2014-10-11,23:45,17.13
41,2014-10-12,0:00,17.13
42,2014-10-12,0:15,17.13
43,2014-10-12,0:30,17.13
44,2014-10-12,0:45,17.11
45,2014-10-12,1:00,17.11
46,2014-10-12,1:15,17.08
47,2014-10-12,1:30,17.08
48,2014-10-12,1:45,17.06
49,2014-10-12,2:00,17.06
50,2014-10-12,2:15,17.08
51,2014-10-12,2:30,17.06
52,2014-10-12,2:45,17.08
53,2014-10-12,3:00,17.06
54,2014-10-12,3:15,17.06
55,2014-10-12,3:30,17.06
56,2014-10-12,3:45,17.06
57,2014-10-12,4:00,17.06
58,2014-10-12,4:15,17.03
59,2014-10-12,4:30,17.01
60,2014-10-12,4:45,17.01
61,2014-10-12,5:00,16.99
62,2014-10-12,5:15,16.99
63,2014-10-12,5:30,16.96
64,2014-10-12,5:45,16.96
65,2014-10-12,6:00,16.94
66,2014-10-12,6:15,16.92
67,2014-10-12,6:30,16.92
68,2014-10-12,6:45,16.92
69,2014-10-12,7:00,16.89
70,2014-10-12,7:15,16.87
71,2014-10-12,7:30,16.84
72,2014-10-12,7:45,16.80
73,2014-10-12,8:00,16.77
74,2014-10-12,8:15,16.73
75,2014-10-12,8:30,16.68
76,2014-10-12,8:45,16.65
77,2014-10-12,9:00,16.63
78,2014-10-12,9:15,16.58
79,2014-10-12,9:30,16.58
80,2014-10-12,9:45,16.56
81,2014-10-12,10:00,16.56
82,2014-10-12,10:15,16.53
83,2014-10-12,10:30,16.53
84,2014-10-12,10:45,16.53
85,2014-10-12,11:00,16.53
86,2014-10-12,11:15,16.53
87,2014-10-12,11:30,16.56
88,2014-10-12,11:45,16.56
89,2014-10-12,12:00,16.58
90,2014-10-12,12:15,16.58
91,2014-10-12,12:30,16.61
92,2014-10-12,12:45,16.63
93,2014-10-12,13:00,16.63
94,2014-10-12,13:15,16.65
95,2014-10-12,13:30,16.65
96,2014-10-12,13:45,16.65
97,2014-10-12,14:00,16.65
98,2014-10-12,14:15,16.65
99,2014-10-12,14:30,16.65
100,2014-10-12,14:45,16.68
101,2014-10-12,15:00,16.65
102,2014-10-12,15:15,16.63
103,2014-10-12,15:30,16.61
104,2014-10-12,15:45,16.58
105,2014-10-12,16:00,16.58
106,2014-10-12,16:15,16.61
107,2014-10-12,16:30,16.65
108,2014-10-12,16:45,16.70
109,2014-10-12,17:00,16.75
110,2014-10-12,17:15,16.77
111,2014-10-12,17:30,16.82
112,2014-10-12,17:45,16.84
113,2014-10-12,18:00,16.87
114,2014-10-12,18:15,16.89
115,2014-10-12,18:30,16.94
116,2014-10-12,18:45,16.99
117,2014-10-12,19:00,17.03
118,2014-10-12,19:15,17.08
119,2014-10-12,19:30,17.11
120,2014-10-12,19:45,17.15
121,2014-10-12,20:00,17.23
122,2014-10-12,20:15,17.27
123,2014-10-12,20:30,17.32
124,2014-10-12,20:45,17.39
125,2014-10-12,21:00,17.44
126,2014-10-12,21:15,17.49
127,2014-10-12,21:30,17.53
128,2014-10-12,21:45,17.58
129,2014-10-12,22:00,17.63
130,2014-10-12,22:15,17.68
131,2014-10-12,22:30,17.72
132,2014-10-12,22:45,17.75
133,2014-10-12,23:00,17.75
134,2014-10-12,23:15,17.75
135,2014-10-12,23:30,17.75
136,2014-10-12,23:45,17.72
137,2014-10-13,0:00,17.68
138,2014-10-13,0:15,17.65
139,2014-10-13,0:30,17.63
140,2014-10-13,0:45,17.58
141,2014-10-13,1:00,17.56
142,2014-10-13,1:15,17.53
143,2014-10-13,1:30,17.49
144,2014-10-13,1:45,17.44
145,2014-10-13,2:00,17.42
146,2014-10-13,2:15,17.37
147,2014-10-13,2:30,17.34
148,2014-10-13,2:45,17.30
149,2014-10-13,3:00,17.27
150,2014-10-13,3:15,17.25
151,2014-10-13,3:30,17.23
152,2014-10-13,3:45,17.18
153,2014-10-13,4:00,17.15
154,2014-10-13,4:15,17.13
155,2014-10-13,4:30,17.11
156,2014-10-13,4:45,17.08
157,2014-10-13,5:00,17.06
158,2014-10-13,5:15,17.03
159,2014-10-13,5:30,17.01
